date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:37	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Fri,%2028%20Jun%202024%2010:52:30%20GMT	http://static1.squarespace.com/static/61c90f76ff5f802020e2848e/61cb5d9d6e8adb3585b6c4e2/62915e31379d437b1654c720/1653694151320/83F6D5C4-F885-4448-BE65-0FC809B14D21.JPG?format=1500w	C:/Users/OLAJIDE/Documents/clone/clone/static1.squarespace.com/static/61c90f76ff5f802020e2848e/61cb5d9d6e8adb3585b6c4e2/62915e31379d437b1654c720/1653694151320/83F6D5C4-F885-4448-BE65-0FC809B14D21.22a26f7.delayed	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:42	172155/172155	---M--	200	added ('OK')	image/jpeg	etag:CKjBv9fqgPgCEAE=	https://images.squarespace-cdn.com/content/61c90f76ff5f802020e2848e/1653694124651-9XBX3ODOO6VLFZXC4J93/83F6D5C4-F885-4448-BE65-0FC809B14D21.JPG?content-type=image%2Fjpeg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/61c90f76ff5f802020e2848e/1653694124651-9XBX3ODOO6VLFZXC4J93/83F6D5C4-F885-4448-BE65-0FC809B14D21ee8a.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:42	837722/837722	---M--	200	added ('OK')	image/jpeg	etag:CJ/zqO7uqPcCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/d3f2a819-ff64-4e06-8271-8a90eb89c6f5/IMG_3010.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/d3f2a819-ff64-4e06-8271-8a90eb89c6f5/IMG_3010.jpg	(from https://www.capturedimagess.com/portfolio/religious)
11:52:43	377153/377153	---M--	200	added ('OK')	image/jpeg	etag:CMfB2+j4gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/8d3b7d6f-4e47-45ee-9995-7c1659362fe2/IMG_5756.JPG	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/8d3b7d6f-4e47-45ee-9995-7c1659362fe2/IMG_5756.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:44	1381106/1381106	---M--	200	added ('OK')	image/jpeg	etag:CIXD3sbd/vgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/217b8bc8-08ee-4e52-a900-c95bd436e30c/IMG_9138.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/217b8bc8-08ee-4e52-a900-c95bd436e30c/IMG_9138.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:44	411857/411857	---M--	200	added ('OK')	image/jpeg	etag:CK7C75P4gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/65f88e3a-a156-4e9f-acbd-3cf6cb8d5af2/IMG_5849.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/65f88e3a-a156-4e9f-acbd-3cf6cb8d5af2/IMG_5849.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:44	399994/399994	---M--	200	added ('OK')	image/jpeg	etag:COf7+PH4gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/25473e29-e7a8-47b8-b87a-872e804b4437/IMG_5755.JPG	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/25473e29-e7a8-47b8-b87a-872e804b4437/IMG_5755.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:45	999314/999314	---M--	200	added ('OK')	image/jpeg	etag:CJLh4cHc/vgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/26aa0b78-2764-4ce8-992c-d357fa34225f/IMG_8832.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/26aa0b78-2764-4ce8-992c-d357fa34225f/IMG_8832.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:45	385709/385709	---M--	200	added ('OK')	image/jpeg	etag:CObEw/X3gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/18fbb30d-9809-4990-9aa1-fda454e2ff5f/IMG_5867.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/18fbb30d-9809-4990-9aa1-fda454e2ff5f/IMG_5867.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:46	268359/268359	---M--	200	added ('OK')	image/jpeg	etag:CL7PpuD3gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/d586d972-0760-47fa-ba7f-4ccfeb4e3493/IMG_5913.JPG	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/d586d972-0760-47fa-ba7f-4ccfeb4e3493/IMG_5913.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:47	567932/567932	---M--	200	added ('OK')	image/jpeg	etag:CLqPwarc/vgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/1fca0110-f9fa-41a4-a1ee-8b476206295b/IMG_8787.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/1fca0110-f9fa-41a4-a1ee-8b476206295b/IMG_8787.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:47	348103/348103	---M--	200	added ('OK')	image/jpeg	etag:CODeqMb3gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/5bcfc91b-08c6-405e-acad-9a0c181e0f75/IMG_5978.JPG	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/5bcfc91b-08c6-405e-acad-9a0c181e0f75/IMG_5978.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:48	565206/565206	---M--	200	added ('OK')	image/jpeg	etag:CLLY4Kf3gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/5e05db3e-4a52-4ce7-b5f0-37c42d79e2f2/IMG_5999.jpg	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/5e05db3e-4a52-4ce7-b5f0-37c42d79e2f2/IMG_5999.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
11:52:48	502691/502691	---M--	200	added ('OK')	image/jpeg	etag:CN2auLv3gPgCEAE=	https://images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/ce3c3180-7927-4c41-a236-9b8e6b2a2130/IMG_5984.JPG	C:/Users/OLAJIDE/Documents/clone/clone/images.squarespace-cdn.com/content/v1/61c90f76ff5f802020e2848e/ce3c3180-7927-4c41-a236-9b8e6b2a2130/IMG_5984.jpg	(from https://www.capturedimagess.com/portfolio/special-events)
